competition_name,competition_date,competition_location,competition_nation_host,athlete_sex,competition_age_category,competition_url,weight_class,competition_standing,athlete_name,nation,club,bodyweight_kg,competition_group,snatch_1,snatch_1_result,snatch_2,snatch_2_result,snatch_3,snatch_3_result,clean_jerk_1,clean_jerk_1_result,clean_jerk_2,clean_jerk_2_result,clean_jerk_3,clean_jerk_3_result,total_kg,sinclair
103 rd European Championships,2025-04-13,Chisinau,MDA,Males,Senior,http://iwrp.net/component/cwyniki/?view=contest&id_zawody=2792,55 kg,1,Rusev Angel,BUL,,55.00,A,105.0,s,110.0,u,111.0,u,141.0,s,150.0,u,,na,246.0,404.4
103 rd European Championships,2025-04-13,Chisinau,MDA,Males,Senior,http://iwrp.net/component/cwyniki/?view=contest&id_zawody=2792,55 kg,2,Secrieru Danu,MDA,,54.65,A,102.0,s,106.0,s,110.0,s,128.0,s,132.0,s,135.0,s,245.0,404.8
103 rd European Championships,2025-04-13,Chisinau,MDA,Males,Senior,http://iwrp.net/component/cwyniki/?view=contest&id_zawody=2792,55 kg,3,Shamilishvili Ramini,GEO,,54.80,A,105.0,s,109.0,s,111.0,u,127.0,s,131.0,s,134.0,s,243.0,400.6
103 rd European Championships,2025-04-13,Chisinau,MDA,Males,Senior,http://iwrp.net/component/cwyniki/?view=contest&id_zawody=2792,55 kg,4,Luca Marian Cristian,ROU,,54.70,A,106.0,s,110.0,s,112.0,u,127.0,u,127.0,s,132.0,s,242.0,399.6
103 rd European Championships,2025-04-13,Chisinau,MDA,Males,Senior,http://iwrp.net/component/cwyniki/?view=contest&id_zawody=2792,55 kg,5,Algul Harun,TUR,,54.90,A,107.0,s,110.0,s,112.0,s,125.0,s,128.0,u,129.0,s,241.0,396.8
103 rd European Championships,2025-04-13,Chisinau,MDA,Males,Senior,http://iwrp.net/component/cwyniki/?view=contest&id_zawody=2792,55 kg,6,Danev Deniz,BUL,,54.80,A,100.0,s,104.0,s,107.0,s,130.0,u,130.0,s,136.0,u,237.0,390.8
103 rd European Championships,2025-04-13,Chisinau,MDA,Males,Senior,http://iwrp.net/component/cwyniki/?view=contest&id_zawody=2792,55 kg,7,Papolti Narcis,ROU,,55.00,A,100.0,s,104.0,s,105.0,s,126.0,s,130.0,s,133.0,u,235.0,386.4
103 rd European Championships,2025-04-13,Chisinau,MDA,Males,Senior,http://iwrp.net/component/cwyniki/?view=contest&id_zawody=2792,55 kg,8,Hajibeyev Ismail,UKR,,55.00,A,102.0,s,106.0,s,111.0,u,120.0,s,125.0,s,131.0,u,231.0,379.8
103 rd European Championships,2025-04-13,Chisinau,MDA,Males,Senior,http://iwrp.net/component/cwyniki/?view=contest&id_zawody=2792,55 kg,9,Sahin Muammer,TUR,,55.00,A,109.0,s,112.0,u,113.0,u,120.0,s,,na,,na,229.0,376.5
103 rd European Championships,2025-04-13,Chisinau,MDA,Males,Senior,http://iwrp.net/component/cwyniki/?view=contest&id_zawody=2792,55 kg,10,Betca Iulian,MDA,,54.55,B,95.0,s,100.0,s,103.0,u,119.0,s,124.0,s,127.0,s,227.0,375.6
103 rd European Championships,2025-04-13,Chisinau,MDA,Males,Senior,http://iwrp.net/component/cwyniki/?view=contest&id_zawody=2792,55 kg,11,Voronovskyi Dmytro,UKR,,55.00,A,102.0,s,105.0,u,105.0,u,125.0,s,130.0,u,133.0,u,227.0,373.2
103 rd European Championships,2025-04-13,Chisinau,MDA,Males,Senior,http://iwrp.net/component/cwyniki/?view=contest&id_zawody=2792,55 kg,12,Otero Michael,ESP,,54.80,B,94.0,s,98.0,u,98.0,u,123.0,s,127.0,s,130.0,u,221.0,364.4
103 rd European Championships,2025-04-13,Chisinau,MDA,Males,Senior,http://iwrp.net/component/cwyniki/?view=contest&id_zawody=2792,55 kg,1,Dimov Ivan,BUL,,60.85,A,128.0,s,131.0,s,135.0,s,150.0,s,154.0,s,,na,289.0,440.1
103 rd European Championships,2025-04-13,Chisinau,MDA,Males,Senior,http://iwrp.net/component/cwyniki/?view=contest&id_zawody=2792,55 kg,2,Berdelidze	 Goderdzi,GEO,,60.95,A,123.0,s,126.0,u,126.0,u,146.0,s,151.0,s,153.0,s,276.0,419.8
103 rd European Championships,2025-04-13,Chisinau,MDA,Males,Senior,http://iwrp.net/component/cwyniki/?view=contest&id_zawody=2792,55 kg,3,Cholakyan Garnik,ARM,,61.00,A,123.0,u,124.0,s,129.0,u,151.0,u,151.0,s,153.0,u,275.0,418.0
103 rd European Championships,2025-04-13,Chisinau,MDA,Males,Senior,http://iwrp.net/component/cwyniki/?view=contest&id_zawody=2792,55 kg,4,Badanev Ion,MDA,,61.00,A,120.0,u,120.0,s,123.0,s,147.0,s,152.0,u,152.0,s,275.0,418.0
103 rd European Championships,2025-04-13,Chisinau,MDA,Males,Senior,http://iwrp.net/component/cwyniki/?view=contest&id_zawody=2792,55 kg,5,Aykun Burak,TUR,,59.95,A,115.0,u,115.0,s,120.0,s,143.0,s,148.0,u,148.0,s,268.0,412.6
103 rd European Championships,2025-04-13,Chisinau,MDA,Males,Senior,http://iwrp.net/component/cwyniki/?view=contest&id_zawody=2792,55 kg,6,Zalipskyi Pavlo,UKR,,60.75,A,120.0,s,123.0,s,125.0,u,140.0,s,143.0,s,146.0,u,266.0,405.5
103 rd European Championships,2025-04-13,Chisinau,MDA,Males,Senior,http://iwrp.net/component/cwyniki/?view=contest&id_zawody=2792,55 kg,7,Lungu Daniel,MDA,,61.00,A,122.0,u,122.0,u,122.0,s,135.0,s,140.0,u,142.0,s,264.0,401.3
103 rd European Championships,2025-04-13,Chisinau,MDA,Males,Senior,http://iwrp.net/component/cwyniki/?view=contest&id_zawody=2792,55 kg,8,Revko Andriy,UKR,,61.00,A,113.0,s,116.0,s,119.0,s,145.0,u,145.0,u,145.0,s,264.0,401.3
103 rd European Championships,2025-04-13,Chisinau,MDA,Males,Senior,http://iwrp.net/component/cwyniki/?view=contest&id_zawody=2792,55 kg,9,Vladisavljev Stevan,SRB,,60.75,A,115.0,s,120.0,u,121.0,u,137.0,u,137.0,s,145.0,u,252.0,384.2
103 rd European Championships,2025-04-13,Chisinau,MDA,Males,Senior,http://iwrp.net/component/cwyniki/?view=contest&id_zawody=2792,55 kg,10,Dorobete Ion Daniel,ROU,,60.85,B,105.0,s,110.0,s,115.0,s,125.0,s,130.0,s,135.0,s,250.0,380.7
103 rd European Championships,2025-04-13,Chisinau,MDA,Males,Senior,http://iwrp.net/component/cwyniki/?view=contest&id_zawody=2792,55 kg,11,Jigau Daniel Nicolae,ROU,,60.55,B,95.0,u,95.0,u,95.0,s,125.0,s,131.0,u,131.0,u,220.0,336.2
103 rd European Championships,2025-04-13,Chisinau,MDA,Males,Senior,http://iwrp.net/component/cwyniki/?view=contest&id_zawody=2792,55 kg,1,Kahriman Kaan,TUR,,67.00,A,142.0,s,146.0,s,151.0,u,166.0,s,170.0,s,173.0,u,316.0,450.0
